treatment,tree_type,log_id_number,number_of_hatched_larvae,date_of_dissection,eab_stage,parasitized,sg_brood_id,sg_count,number_emg_sg,unemerged_larvae,unemerged_adults,note
Morris_Snow,GA,6,8,NA,NA,NA,5,3,0,0,3,NA
Morris_Snow,GA,6,8,NA,NA,NA,6,5,4,0,1,NA
Morris_Snow,GA,6,8,NA,NA,NA,7,10,8,0,2,NA
Morris_Snow,GA,6,8,NA,NA,NA,8,2,1,0,1,NA
Morris_Snow,GA,7,3,NA,NA,NA,1,7,1,0,6,NA
Morris_Snow,GA,7,3,NA,NA,NA,2,2,2,0,0,NA
Morris_Snow,GA,7,3,NA,NA,NA,3,10,10,0,0,NA
Shipping_Control,GA,1,5,NA,NA,NA,1,4,3,1,0,NA
Shipping_Control,GA,1,5,NA,NA,NA,2,17,14,0,3,NA
Shipping_Control,GA,1,5,NA,NA,NA,3,12,8,0,4,NA
Shipping_Control,GA,1,5,NA,NA,NA,4,4,2,0,2,NA
Shipping_Control,GA,1,5,NA,NA,NA,5,10,9,0,1,NA
Shipping_Control,GA,2,6,NA,NA,NA,1,15,13,0,2,NA
Shipping_Control,GA,2,6,NA,NA,NA,2,4,4,0,0,NA
Shipping_Control,GA,2,6,NA,NA,NA,3,17,16,0,1,NA
Shipping_Control,GA,2,6,NA,NA,NA,4,18,16,0,2,NA
Shipping_Control,GA,2,6,NA,NA,NA,5,12,10,0,2,NA
Shipping_Control,GA,2,6,NA,NA,NA,6,2,0,1,1,NA
Shipping_Control,GA,3,2,NA,NA,NA,1,9,6,0,3,NA
Shipping_Control,GA,3,2,NA,NA,NA,2,13,12,0,1,NA
Shipping_Control,GA,4,1,NA,NA,NA,1,15,0,0,15,NA
Shipping_Control,GA,5,1,NA,NA,NA,1,8,0,1,7,NA
Shipping_Control,GA,6,1,NA,NA,NA,1,17,14,1,2,NA
UMN_Air,GA,1,1,NA,NA,NA,1,5,5,0,0,NA
UMN_Air,GA,2,2,NA,NA,NA,1,6,4,2,0,NA
UMN_Air,GA,2,2,NA,NA,NA,2,11,3,1,7,NA
UMN_Air,GA,3,1,NA,NA,NA,1,6,0,0,6,NA
UMN_Air,GA,4,0,NA,NA,NA,NA,0,0,0,0,NA
UMN_Air,GA,5,1,NA,NA,NA,1,4,0,4,0,NA
UMN_Air,GA,6,0,NA,NA,NA,NA,0,0,0,0,NA
UMN_Air,GA,7,0,NA,NA,NA,NA,0,0,0,0,NA
UMN_Air,GA,8,2,NA,NA,NA,1,6,3,0,3,NA
UMN_Air,GA,8,2,NA,NA,NA,2,10,3,0,7,NA
UMN_Snow,GA,1,2,NA,NA,NA,1,7,0,7,0,NA
UMN_Snow,GA,1,2,NA,NA,NA,2,8,0,8,0,NA
UMN_Snow,GA,2,3,NA,NA,NA,1,6,0,0,6,NA
UMN_Snow,GA,2,3,NA,NA,NA,2,8,0,0,8,NA
UMN_Snow,GA,2,3,NA,NA,NA,3,2,0,2,0,NA
UMN_Snow,GA,3,2,NA,NA,NA,1,7,6,1,0,NA
UMN_Snow,GA,3,2,NA,NA,NA,2,2,0,2,0,NA
UMN_Snow,GA,4,1,NA,NA,NA,1,2,0,2,0,NA
UMN_Snow,GA,5,1,NA,NA,NA,1,3,0,3,0,NA
UMN_Snow,GA,6,1,NA,NA,NA,1,6,0,4,2,NA
UMN_Snow,GA,7,1,NA,NA,NA,1,10,0,10,0,NA
UMN_Snow,GA,8,2,NA,NA,NA,1,3,0,3,0,NA
UMN_Snow,GA,8,2,NA,NA,NA,2,2,0,2,0,NA
UMN_Snow,GA,9,3,NA,NA,NA,1,9,8,0,1,NA
UMN_Snow,GA,9,3,NA,NA,NA,2,6,6,0,0,NA
UMN_Snow,GA,9,3,NA,NA,NA,3,6,6,0,0,NA
Waseca_Air,GA,1,1,NA,NA,NA,1,5,0,5,0,NA
Waseca_Air,GA,2,1,NA,NA,NA,1,5,0,5,0,NA
Waseca_Air,GA,3,1,NA,NA,NA,1,1,0,1,0,NA
Waseca_Air,GA,4,1,NA,NA,NA,1,8,0,8,0,NA
Waseca_Air,GA,5,1,NA,NA,NA,1,1,0,1,0,NA
Waseca_Air,GA,6,1,NA,NA,NA,1,4,0,4,0,NA
Waseca_Air,GA,7,1,NA,NA,NA,1,3,0,3,0,NA
Waseca_Air,GA,8,1,NA,NA,NA,1,2,0,2,0,NA
Waseca_Air,GA,9,1,NA,NA,NA,1,12,0,12,0,NA
Waseca_Snow,GA,1,1,NA,NA,NA,1,6,2,1,3,NA
Waseca_Snow,GA,2,1,NA,NA,NA,1,4,0,4,0,NA
Waseca_Snow,GA,3,2,NA,NA,NA,1,7,4,3,0,NA
Waseca_Snow,GA,3,2,NA,NA,NA,2,3,3,0,0,NA
Waseca_Snow,GA,4,2,NA,NA,NA,1,1,0,1,0,NA
Waseca_Snow,GA,4,2,NA,NA,NA,1,2,0,2,0,NA
Waseca_Snow,GA,5,0,NA,NA,NA,NA,0,0,0,0,NA
Waseca_Snow,GA,6,0,NA,NA,NA,NA,0,0,0,0,NA
Waseca_Snow,GA,7,1,NA,NA,NA,1,5,0,0,5,NA
Waseca_Snow,GA,8,1,NA,NA,NA,1,4,0,1,3,NA
Waseca_Snow,GA,9,2,NA,NA,NA,1,3,1,0,2,NA
Waseca_Snow,GA,9,2,NA,NA,NA,2,8,7,0,1,NA
