Treatment,Tree Type,Log ID #,# of Hatched Larvae,Date of Dissection,EAB Stage,Parasitized?,SG Brood ID,SG Count,# EMG SG,unemerged_larvae,unemerged_adults,Note
Shipping_Control,GA,2,6,,,,5,12,10,0,2,
Shipping_Control,GA,2,6,,,,6,2,0,1,1,
Shipping_Control,GA,3,2,,,,1,9,6,0,3,
Shipping_Control,GA,3,2,,,,2,13,12,0,1,
Shipping_Control,GA,4,1,,,,1,15,0,0,15,
Shipping_Control,GA,5,1,,,,1,8,0,1,7,
Shipping_Control,GA,6,1,,,,1,17,14,1,2,
UMN_Air,GA,1,1,,,,1,5,5,0,0,
UMN_Air,GA,2,2,,,,1,6,4,2,0,
UMN_Air,GA,2,2,,,,2,11,3,1,7,
UMN_Air,GA,3,1,,,,1,6,0,0,6,
UMN_Air,GA,4,0,,,,NA,0,0,0,0,
UMN_Air,GA,5,1,,,,1,4,0,4,0,
UMN_Air,GA,6,0,,,,NA,0,0,0,0,
UMN_Air,GA,7,0,,,,NA,0,0,0,0,
UMN_Air,GA,8,2,,,,1,6,3,0,3,
UMN_Air,GA,8,2,,,,2,10,3,0,7,
UMN_Snow,GA,1,2,,,,1,7,0,7,0,
UMN_Snow,GA,1,2,,,,2,8,0,8,0,
UMN_Snow,GA,2,3,,,,1,6,0,0,6,
UMN_Snow,GA,2,3,,,,2,8,0,0,8,
UMN_Snow,GA,2,3,,,,3,2,0,2,0,
UMN_Snow,GA,3,2,,,,1,7,6,1,0,
UMN_Snow,GA,3,2,,,,2,2,0,2,0,
UMN_Snow,GA,4,1,,,,1,2,0,2,0,
UMN_Snow,GA,5,1,,,,1,3,0,3,0,
UMN_Snow,GA,6,1,,,,1,6,0,4,2,
UMN_Snow,GA,7,1,,,,1,10,0,10,0,
UMN_Snow,GA,8,2,,,,1,3,0,3,0,
UMN_Snow,GA,8,2,,,,2,2,0,2,0,
UMN_Snow,GA,9,3,,,,1,9,8,0,1,
UMN_Snow,GA,9,3,,,,2,6,6,0,0,
UMN_Snow,GA,9,3,,,,3,6,6,0,0,
Waseca_Air,GA,1,1,,,,1,5,0,5,0,
Waseca_Air,GA,2,1,,,,1,5,0,5,0,
Waseca_Air,GA,3,1,,,,1,1,0,1,0,
Waseca_Air,GA,4,1,,,,1,8,0,8,0,
Waseca_Air,GA,5,1,,,,1,1,0,1,0,
Waseca_Air,GA,6,1,,,,1,4,0,4,0,
Waseca_Air,GA,7,1,,,,1,3,0,3,0,
Waseca_Air,GA,8,1,,,,1,2,0,2,0,
Waseca_Air,GA,9,1,,,,1,12,0,12,0,
Waseca_Snow,GA,1,1,,,,1,6,2,1,3,
Waseca_Snow,GA,2,1,,,,1,4,0,4,0,
Waseca_Snow,GA,3,2,,,,1,7,4,3,0,
Waseca_Snow,GA,3,2,,,,2,3,3,0,0,
Waseca_Snow,GA,4,2,,,,1,1,0,1,0,
Waseca_Snow,GA,4,2,,,,1,2,0,2,0,
Waseca_Snow,GA,5,0,,,,NA,0,0,0,0,
Waseca_Snow,GA,6,0,,,,NA,0,0,0,0,
Waseca_Snow,GA,7,1,,,,1,5,0,0,5,
Waseca_Snow,GA,8,1,,,,1,4,0,1,3,
Waseca_Snow,GA,9,2,,,,1,3,1,0,2,
Waseca_Snow,GA,9,2,,,,2,8,7,0,1,
